filter,timeframe,rows,sl,tp2,sl_removed_vs_base,tp2_retention_vs_base,sl_rate,tp2_rate,avg_r,total_r,total_r_delta_vs_base
base,15m,2460,1595,835,0.0,1.0,0.6483739837398373,0.3394308943089431,0.053884139694714873,132.5549836489986,0.0
base,1h,554,385,165,0.0,1.0,0.6949458483754513,0.29783393501805056,-0.01396720764693974,-7.737833036404616,0.0
base,30m,1138,743,376,0.0,1.0,0.6528998242530756,0.3304042179261863,0.06964715522553969,79.25846264666416,0.0
base,ALL_no4h,4152,2723,1376,0.0,1.0,0.6558285163776493,0.33140655105973027,0.04915115926282711,204.07561325925815,0.0
atr_mid_0.232_0.874,15m,1551,975,557,0.3887147335423197,0.667065868263473,0.6286266924564797,0.3591231463571889,0.182264844320104,282.6927735404813,150.13778989148273
atr_mid_0.232_0.874,1h,442,301,138,0.21818181818181817,0.8363636363636363,0.6809954751131222,0.31221719457013575,0.038981856762430864,17.22998068899444,24.967813725399058
atr_mid_0.232_0.874,30m,913,594,307,0.20053835800807537,0.8164893617021277,0.6506024096385542,0.3362541073384447,0.10333433485479764,94.34424772243024,15.085785075766083
atr_mid_0.232_0.874,ALL_no4h,2906,1870,1002,0.31325743665075284,0.7281976744186046,0.6434962147281487,0.34480385409497594,0.13567343494559736,394.26700195190597,190.19138869264782
atr_mid_0.185_0.874,15m,1870,1182,665,0.2589341692789969,0.7964071856287425,0.6320855614973262,0.35561497326203206,0.15786612985018067,295.20966281983783,162.65467917083924
atr_mid_0.185_0.874,1h,452,308,141,0.2,0.8545454545454545,0.6814159292035398,0.31194690265486724,0.035856420684655464,16.20710214946427,23.944935185868886
atr_mid_0.185_0.874,30m,999,648,334,0.1278600269179004,0.8882978723404256,0.6486486486486487,0.33433433433433435,0.09671856138031111,96.6218428189308,17.363380172266645
atr_mid_0.185_0.874,ALL_no4h,3321,2138,1140,0.21483657730444364,0.8284883720930233,0.6437819933754894,0.34327009936766034,0.12286618722921798,408.0386077882329,203.96299452897478
d_confirm_le_4,15m,1789,1136,624,0.2877742946708464,0.7473053892215569,0.6349916154276132,0.3487982112912241,0.05964338317893951,106.70201250712279,-25.8529711418758
d_confirm_le_4,1h,385,257,124,0.33246753246753247,0.7515151515151515,0.6675324675324675,0.3220779220779221,0.05744633115369093,22.11683749417101,29.854670530575625
d_confirm_le_4,30m,821,522,282,0.297442799461642,0.75,0.6358099878197321,0.34348355663824603,0.09216296061721195,75.66579066673101,-3.5926719799331437
d_confirm_le_4,ALL_no4h,2995,1915,1030,0.2967315460888726,0.748546511627907,0.6393989983305509,0.34390651085141904,0.06827533912121027,204.48464066802475,0.4090274087666046
entry_wait_ge_2,15m,1533,961,551,0.3974921630094044,0.6598802395209581,0.6268754076973255,0.3594259621656882,0.12838111688574194,196.80825218584238,64.25326853684379
entry_wait_ge_2,1h,346,236,108,0.38701298701298703,0.6545454545454545,0.6820809248554913,0.31213872832369943,0.023229448747287964,8.037389266561636,15.775222302966252
entry_wait_ge_2,30m,714,455,247,0.3876177658142665,0.6569148936170213,0.6372549019607843,0.34593837535014005,0.15167949653305235,108.29916052459937,29.040697877935216
entry_wait_ge_2,ALL_no4h,2593,1652,906,0.39331619537275064,0.6584302325581395,0.6370998843038951,0.34940223679136134,0.12076544619244252,313.14480197700345,109.0691887177453
atr_mid_and_dconfirm_le4,15m,1077,665,394,0.5830721003134797,0.4718562874251497,0.617455896007428,0.3658310120705664,0.18177048685843705,195.7668143465367,63.21183069753812
atr_mid_and_dconfirm_le4,1h,306,204,99,0.4701298701298701,0.6,0.6666666666666666,0.3235294117647059,0.06898363497948905,21.10899230372365,28.846825340128266
atr_mid_and_dconfirm_le4,30m,634,401,222,0.46029609690444145,0.5904255319148937,0.6324921135646687,0.3501577287066246,0.121285566929187,76.89504943310456,-2.363413213559596
atr_mid_and_dconfirm_le4,ALL_no4h,2017,1270,715,0.5336026441424899,0.5196220930232558,0.6296479920674268,0.35448686167575605,0.14564742492977936,293.77085608336495,89.6952428241068
