pattern_type,filter,rows,sl,tp1,tp2,sl_rate,tp1_rate,tp2_rate,avg_r,total_r,sl_removed_vs_base,tp2_retention_vs_base,total_r_delta_vs_base
bearish,base_tp2_score_ge_0.25,2020.0,1306.0,714.0,691.0,0.6465346534653466,0.35346534653465345,0.3420792079207921,0.09558576311916599,193.0832415007153,0.0,1.0,0.0
bullish,base_tp2_score_ge_0.25,2132.0,1417.0,715.0,685.0,0.6646341463414634,0.3353658536585366,0.32129455909943716,0.005155896697252728,10.992371758542816,0.0,1.0,0.0
bearish,main_atr_0.185_0.874,1624.0,1028.0,596.0,577.0,0.6330049261083743,0.3669950738916256,0.3552955665024631,0.17515485844371292,284.4514901125898,0.21286370597243492,0.8350217076700435,91.36824861187449
bullish,main_atr_0.185_0.874,1697.0,1110.0,587.0,563.0,0.6540954625810254,0.34590453741897464,0.33176193282262817,0.07282682243703187,123.58711767564307,0.21665490472829924,0.8218978102189781,112.59474591710025
bearish,aggressive_atr_0.232_0.874,1391.0,887.0,504.0,487.0,0.6376707404744788,0.3623292595255212,0.3501078360891445,0.16846997080887965,234.34172939515162,0.3208269525267994,0.7047756874095513,41.258487894436314
bullish,aggressive_atr_0.232_0.874,1515.0,983.0,532.0,515.0,0.6488448844884488,0.35115511551155115,0.33993399339933994,0.10556123601105898,159.92527255675435,0.30628087508821455,0.7518248175182481,148.93290079821153
