timeframe,events,avg_result_r,median_result_r,no_fill_count,no_fill_prob,sl_before_tp1_count,sl_before_tp1_prob,tp1_then_be_count,tp1_then_be_prob,tp2_count,tp2_prob,timeout_count,timeout_prob,no_entry_count,no_entry_prob,tp1_reached_count,tp1_reached_prob
15m,5663,0.01107503310467643,-1.0358614436714417,1275,0.22514568250044145,2841,0.5016775560656895,97,0.017128730354935548,1450,0.2560480310789334,0,0.0,0,0.0,1547,0.273176761433869
1h,1385,-0.001683985531270225,-1.0317552597002075,317,0.22888086642599278,719,0.5191335740072203,20,0.01444043321299639,329,0.2375451263537906,0,0.0,0,0.0,349,0.251985559566787
30m,2829,0.0013775458589780289,-1.038946367664279,665,0.2350653941322022,1434,0.5068928950159067,55,0.019441498762813716,675,0.23860021208907742,0,0.0,0,0.0,730,0.25804171085189115
4h,306,0.07938139919981974,-1.022801001242877,62,0.20261437908496732,166,0.5424836601307189,2,0.006535947712418301,75,0.24509803921568626,1,0.0032679738562091504,0,0.0,77,0.25163398692810457
all,10183,0.008698161435840809,-1.0283217312850512,2319,0.22773249533536286,5160,0.5067268977707945,174,0.01708730236668958,2529,0.24835510163998822,1,9.820288716488265e-05,0,0.0,2703,0.2654424040066778
