timestamp,open,high,low,close,volume
2024-01-01 00:00:00,42314.00,42603.20,42289.60,42503.50,8459.477
2024-01-01 01:00:00,42503.50,42832.00,42462.00,42647.90,9043.411
2024-01-01 02:00:00,42647.90,42676.90,42530.00,42620.40,4653.067
2024-01-01 03:00:00,42620.50,42630.00,42270.00,42369.80,8119.880
2024-01-01 04:00:00,42369.80,42439.80,42235.20,42436.60,6356.536
2024-01-01 05:00:00,42436.60,42440.00,42207.90,42272.60,4139.557
2024-01-01 06:00:00,42272.60,42461.30,42239.10,42423.30,3933.019
2024-01-01 07:00:00,42423.40,42536.00,42421.70,42527.00,4455.050
2024-01-01 08:00:00,42527.10,42597.30,42489.40,42588.20,3673.746
2024-01-01 09:00:00,42588.20,42734.20,42570.00,42688.80,5779.875
2024-01-01 10:00:00,42688.80,42795.00,42661.10,42727.70,5806.743
2024-01-01 11:00:00,42727.70,42800.00,42638.00,42727.60,5965.038
2024-01-01 12:00:00,42727.70,42825.20,42651.10,42682.00,6380.463
2024-01-01 13:00:00,42682.00,42787.50,42647.90,42753.90,3269.775
2024-01-01 14:00:00,42753.80,42755.80,42614.50,42645.60,5333.959
2024-01-01 15:00:00,42645.50,42887.50,42617.60,42818.00,8176.630
2024-01-01 16:00:00,42818.00,42898.90,42693.10,42759.70,7126.615
2024-01-01 17:00:00,42759.70,42860.80,42734.80,42847.00,3411.019
2024-01-01 18:00:00,42847.00,43268.00,42847.00,43148.00,18895.526
2024-01-01 19:00:00,43148.00,43593.20,43133.30,43556.20,17037.283
2024-01-01 20:00:00,43556.20,43915.50,43548.50,43753.30,23648.197
2024-01-01 21:00:00,43753.20,43853.00,43531.80,43679.80,10536.944
2024-01-01 22:00:00,43679.70,43723.80,43426.00,43583.90,6632.907
2024-01-01 23:00:00,43584.00,44266.00,43583.90,44230.20,25589.427
2024-01-02 00:00:00,44230.30,45376.00,44200.90,45179.80,59371.002
2024-01-02 01:00:00,45179.70,45485.70,44750.00,44926.30,33741.976
2024-01-02 02:00:00,44926.50,45428.00,44926.50,45420.00,18557.820
2024-01-02 03:00:00,45420.00,45565.00,45167.30,45435.00,18878.543
2024-01-02 04:00:00,45434.90,45484.40,45193.10,45211.70,11326.594
2024-01-02 05:00:00,45211.50,45366.00,45153.00,45218.20,7931.571
2024-01-02 06:00:00,45218.20,45346.20,45163.90,45202.90,5712.130
2024-01-02 07:00:00,45202.90,45832.80,45202.50,45495.50,21647.544
2024-01-02 08:00:00,45495.60,45905.90,45365.00,45816.80,27098.848
2024-01-02 09:00:00,45816.80,45950.00,45667.70,45730.50,14217.371
2024-01-02 10:00:00,45730.00,45772.80,45478.00,45655.70,13818.668
2024-01-02 11:00:00,45655.70,45767.60,45258.00,45486.80,17990.732
2024-01-02 12:00:00,45486.80,45655.00,45323.20,45355.10,15529.751
2024-01-02 13:00:00,45355.10,45760.00,45316.40,45686.30,14990.782
2024-01-02 14:00:00,45686.20,45850.00,45026.00,45293.60,35837.352
2024-01-02 15:00:00,45293.50,45359.90,44868.10,45215.00,32589.488
2024-01-02 16:00:00,45215.00,45449.20,44918.00,45393.40,20683.503
2024-01-02 17:00:00,45393.40,45423.50,44979.90,45001.20,12326.341
2024-01-02 18:00:00,45001.30,45308.40,44969.60,45189.00,10881.297
2024-01-02 19:00:00,45188.90,45286.90,44783.30,45073.20,15774.741
2024-01-02 20:00:00,45073.30,45223.10,44762.40,44825.20,15030.281
2024-01-02 21:00:00,44825.10,45155.00,44598.00,45155.00,16920.986
2024-01-02 22:00:00,45154.90,45338.90,44871.00,45006.70,11592.184
2024-01-02 23:00:00,45006.70,45083.10,44818.10,44979.80,7349.018
2024-01-03 00:00:00,44979.70,45250.70,44895.80,45168.10,9891.172
2024-01-03 01:00:00,45168.00,45379.20,45134.20,45347.80,6424.363
2024-01-03 02:00:00,45347.80,45463.50,45251.70,45312.70,7116.849
2024-01-03 03:00:00,45312.60,45346.80,45188.00,45297.80,3817.468
2024-01-03 04:00:00,45297.80,45309.70,45144.00,45218.80,4135.829
2024-01-03 05:00:00,45218.80,45330.00,45150.00,45200.00,4979.685
2024-01-03 06:00:00,45200.00,45405.30,45185.00,45362.70,5647.505
2024-01-03 07:00:00,45362.80,45423.00,44960.00,45030.40,12284.417
2024-01-03 08:00:00,45030.50,45240.00,45023.70,45224.10,9080.312
2024-01-03 09:00:00,45224.10,45582.30,45207.50,45378.70,14623.762
2024-01-03 10:00:00,45378.60,45420.90,45061.00,45175.70,11079.822
2024-01-03 11:00:00,45175.70,45205.30,43500.00,43728.90,83422.364
2024-01-03 12:00:00,43728.90,43738.80,40333.00,42795.80,174460.870
