symbol,fixed_trades,fixed_wr,fixed_avgR,fixed_totalR,adapt_trades,adapt_wr,adapt_avgR,adapt_totalR
BTCUSDT,11846,65.7,0.451,5344.2,10812,65.8,0.474,5128.5
NEARUSDT,10718,65.9,0.371,3976.5,10182,65.9,0.372,3792.2
ADAUSDT,11639,63.2,0.35,4072.0,11482,63.5,0.346,3975.0
