feature,importance
ab_distance_pct,0.15097336
d_zone_momentum,0.10952352
atr_pct,0.09557406
price_vs_ema20,0.075517714
volume_ratio,0.071727894
d_zone_wick_ratio,0.05381219
bc_ab_ratio,0.04653165
day_of_week,0.04539425
b_price,0.042919207
atr_percentile_20,0.04288817
hour_of_day,0.041454513
d_zone_volume_ratio,0.040857747
volume_trend,0.04038255
ema20_50_direction,0.039097182
quality_score,0.036977183
bc_bars,0.033844937
ab_bars,0.032523926
d_zone_bars,0.0
