threshold,test_rows,selected_rows,selection_rate,baseline_target_prob,selected_target_prob,baseline_tp1_prob,selected_tp1_prob,baseline_tp2_prob,selected_tp2_prob,baseline_avg_r,selected_avg_r,baseline_sl_prob,selected_sl_prob,target,train_start,train_end,test_start,test_end,train_rows
0.2,994,737,0.7414486921529175,0.25251509054325955,0.32157394843962006,0.26458752515090544,0.33242876526458615,0.25251509054325955,0.32157394843962006,0.022357524765943,0.028521760269104184,0.5100603621730382,0.6675712347354138,reached_tp2,2024-01-01,2025-01-01,2025-01-01,2025-04-01,4197
0.25,994,676,0.6800804828973843,0.25251509054325955,0.3062130177514793,0.26458752515090544,0.3165680473372781,0.25251509054325955,0.3062130177514793,0.022357524765943,-0.024889140481428637,0.5100603621730382,0.6834319526627219,reached_tp2,2024-01-01,2025-01-01,2025-01-01,2025-04-01,4197
0.3,994,392,0.39436619718309857,0.25251509054325955,0.30357142857142855,0.26458752515090544,0.3137755102040816,0.25251509054325955,0.30357142857142855,0.022357524765943,-0.05107563525700103,0.5100603621730382,0.6862244897959183,reached_tp2,2024-01-01,2025-01-01,2025-01-01,2025-04-01,4197
0.35,994,42,0.04225352112676056,0.25251509054325955,0.30952380952380953,0.26458752515090544,0.30952380952380953,0.25251509054325955,0.30952380952380953,0.022357524765943,0.06877657891215869,0.5100603621730382,0.6904761904761905,reached_tp2,2024-01-01,2025-01-01,2025-01-01,2025-04-01,4197
0.4,994,1,0.001006036217303823,0.25251509054325955,0.0,0.26458752515090544,0.0,0.25251509054325955,0.0,0.022357524765943,-1.141635619413769,0.5100603621730382,1.0,reached_tp2,2024-01-01,2025-01-01,2025-01-01,2025-04-01,4197
0.45,994,0,0.0,0.25251509054325955,0.0,0.26458752515090544,0.0,0.25251509054325955,0.0,0.022357524765943,0.0,0.5100603621730382,0.0,reached_tp2,2024-01-01,2025-01-01,2025-01-01,2025-04-01,4197
0.5,994,0,0.0,0.25251509054325955,0.0,0.26458752515090544,0.0,0.25251509054325955,0.0,0.022357524765943,0.0,0.5100603621730382,0.0,reached_tp2,2024-01-01,2025-01-01,2025-01-01,2025-04-01,4197
0.55,994,0,0.0,0.25251509054325955,0.0,0.26458752515090544,0.0,0.25251509054325955,0.0,0.022357524765943,0.0,0.5100603621730382,0.0,reached_tp2,2024-01-01,2025-01-01,2025-01-01,2025-04-01,4197
0.6,994,0,0.0,0.25251509054325955,0.0,0.26458752515090544,0.0,0.25251509054325955,0.0,0.022357524765943,0.0,0.5100603621730382,0.0,reached_tp2,2024-01-01,2025-01-01,2025-01-01,2025-04-01,4197
0.2,1025,755,0.7365853658536585,0.23121951219512196,0.2993377483443709,0.25170731707317073,0.31788079470198677,0.23121951219512196,0.2993377483443709,-0.034698205538401146,-0.04686361244766388,0.5121951219512195,0.6821192052980133,reached_tp2,2024-04-01,2025-04-01,2025-04-01,2025-07-01,4159
0.25,1025,695,0.6780487804878049,0.23121951219512196,0.30935251798561153,0.25170731707317073,0.3251798561151079,0.23121951219512196,0.30935251798561153,-0.034698205538401146,-0.016902564582723136,0.5121951219512195,0.6748201438848921,reached_tp2,2024-04-01,2025-04-01,2025-04-01,2025-07-01,4159
0.3,1025,310,0.3024390243902439,0.23121951219512196,0.2838709677419355,0.25170731707317073,0.2870967741935484,0.23121951219512196,0.2838709677419355,-0.034698205538401146,-0.10738648267696976,0.5121951219512195,0.7129032258064516,reached_tp2,2024-04-01,2025-04-01,2025-04-01,2025-07-01,4159
0.35,1025,28,0.027317073170731707,0.23121951219512196,0.17857142857142858,0.25170731707317073,0.17857142857142858,0.23121951219512196,0.17857142857142858,-0.034698205538401146,-0.1079858020637046,0.5121951219512195,0.8214285714285714,reached_tp2,2024-04-01,2025-04-01,2025-04-01,2025-07-01,4159
0.4,1025,8,0.007804878048780488,0.23121951219512196,0.0,0.25170731707317073,0.0,0.23121951219512196,0.0,-0.034698205538401146,-1.0315283837517675,0.5121951219512195,1.0,reached_tp2,2024-04-01,2025-04-01,2025-04-01,2025-07-01,4159
0.45,1025,3,0.002926829268292683,0.23121951219512196,0.0,0.25170731707317073,0.0,0.23121951219512196,0.0,-0.034698205538401146,-1.0283729433107087,0.5121951219512195,1.0,reached_tp2,2024-04-01,2025-04-01,2025-04-01,2025-07-01,4159
0.5,1025,0,0.0,0.23121951219512196,0.0,0.25170731707317073,0.0,0.23121951219512196,0.0,-0.034698205538401146,0.0,0.5121951219512195,0.0,reached_tp2,2024-04-01,2025-04-01,2025-04-01,2025-07-01,4159
0.55,1025,0,0.0,0.23121951219512196,0.0,0.25170731707317073,0.0,0.23121951219512196,0.0,-0.034698205538401146,0.0,0.5121951219512195,0.0,reached_tp2,2024-04-01,2025-04-01,2025-04-01,2025-07-01,4159
0.6,1025,0,0.0,0.23121951219512196,0.0,0.25170731707317073,0.0,0.23121951219512196,0.0,-0.034698205538401146,0.0,0.5121951219512195,0.0,reached_tp2,2024-04-01,2025-04-01,2025-04-01,2025-07-01,4159
0.2,972,740,0.7613168724279835,0.3065843621399177,0.3837837837837838,0.3323045267489712,0.40675675675675677,0.3065843621399177,0.3837837837837838,0.17096446552372985,0.22223672072268985,0.46296296296296297,0.5932432432432433,reached_tp2,2024-07-01,2025-07-01,2025-07-01,2025-10-01,4062
0.25,972,691,0.7109053497942387,0.3065843621399177,0.3921852387843705,0.3323045267489712,0.4109985528219971,0.3065843621399177,0.3921852387843705,0.17096446552372985,0.2621080170073778,0.46296296296296297,0.5890014471780028,reached_tp2,2024-07-01,2025-07-01,2025-07-01,2025-10-01,4062
0.3,972,142,0.14609053497942387,0.3065843621399177,0.4014084507042254,0.3323045267489712,0.4225352112676056,0.3065843621399177,0.4014084507042254,0.17096446552372985,0.42474260447484835,0.46296296296296297,0.5774647887323944,reached_tp2,2024-07-01,2025-07-01,2025-07-01,2025-10-01,4062
0.35,972,0,0.0,0.3065843621399177,0.0,0.3323045267489712,0.0,0.3065843621399177,0.0,0.17096446552372985,0.0,0.46296296296296297,0.0,reached_tp2,2024-07-01,2025-07-01,2025-07-01,2025-10-01,4062
0.4,972,0,0.0,0.3065843621399177,0.0,0.3323045267489712,0.0,0.3065843621399177,0.0,0.17096446552372985,0.0,0.46296296296296297,0.0,reached_tp2,2024-07-01,2025-07-01,2025-07-01,2025-10-01,4062
0.45,972,0,0.0,0.3065843621399177,0.0,0.3323045267489712,0.0,0.3065843621399177,0.0,0.17096446552372985,0.0,0.46296296296296297,0.0,reached_tp2,2024-07-01,2025-07-01,2025-07-01,2025-10-01,4062
0.5,972,0,0.0,0.3065843621399177,0.0,0.3323045267489712,0.0,0.3065843621399177,0.0,0.17096446552372985,0.0,0.46296296296296297,0.0,reached_tp2,2024-07-01,2025-07-01,2025-07-01,2025-10-01,4062
0.55,972,0,0.0,0.3065843621399177,0.0,0.3323045267489712,0.0,0.3065843621399177,0.0,0.17096446552372985,0.0,0.46296296296296297,0.0,reached_tp2,2024-07-01,2025-07-01,2025-07-01,2025-10-01,4062
